city,area_sqft,bhk,bathrooms,parking,location_type,property_age,furnishing,price
Jaipur,1849,4,4,1,Developing,10,Unfurnished,8246000.0
Ahmedabad,996,5,4,1,Developing,13,Semi-Furnished,5532400.0
Hyderabad,1486,3,2,0,Standard,6,Semi-Furnished,11152000.0
Chennai,972,2,4,1,Developing,12,Unfurnished,6182000.0
Chennai,1435,4,1,0,Developing,5,Semi-Furnished,9510000.0
Chennai,1098,2,4,1,Premium,14,Furnished,11455500.0
Delhi,1147,2,3,0,Premium,19,Semi-Furnished,22366500.0
Delhi,2584,4,4,1,Developing,0,Furnished,32858000.0
Kolkata,2681,4,3,0,Developing,18,Furnished,13568800.0
Chennai,685,3,2,0,Developing,2,Unfurnished,4810000.0
Bengaluru,1062,3,4,0,Standard,18,Unfurnished,12844000.0
Mumbai,625,4,1,0,Developing,8,Furnished,10000000.0
Hyderabad,1069,2,4,1,Premium,12,Unfurnished,10077900.0
Delhi,925,3,4,1,Developing,16,Furnished,11950000.0
Hyderabad,1900,5,4,0,Standard,10,Semi-Furnished,14450000.0
Ahmedabad,2650,2,4,1,Standard,11,Unfurnished,14975000.0
Lucknow,2485,1,1,0,Standard,14,Furnished,11282500.0
Ahmedabad,2136,1,2,0,Standard,18,Furnished,11748000.0
Kolkata,2540,3,1,0,Premium,3,Unfurnished,20362000.0
Lucknow,2462,3,2,1,Developing,3,Furnished,10163200.0
Pune,2502,4,4,0,Premium,15,Furnished,26970800.0
Pune,1100,1,3,0,Standard,6,Furnished,9500000.0
Ahmedabad,1547,5,2,0,Premium,5,Unfurnished,12011050.0
Delhi,934,4,2,1,Developing,4,Unfurnished,12158000.0
Bengaluru,2820,3,1,1,Developing,3,Semi-Furnished,28022000.0
Mumbai,1025,2,2,0,Standard,2,Furnished,19450000.0
Lucknow,607,3,1,0,Standard,18,Furnished,3031500.0
Jaipur,2125,5,4,0,Standard,20,Furnished,11525000.0
Jaipur,2715,1,1,0,Standard,18,Unfurnished,12975000.0
Mumbai,1883,4,2,0,Premium,10,Unfurnished,44562200.0
Delhi,1666,3,1,0,Premium,20,Unfurnished,32187000.0
Jaipur,2772,3,2,1,Premium,20,Unfurnished,17968000.0
Ahmedabad,1541,1,1,0,Premium,7,Furnished,11468150.0
Jaipur,2958,4,4,1,Developing,4,Semi-Furnished,13232000.0
Ahmedabad,2373,4,1,1,Standard,19,Semi-Furnished,13401500.0
Pune,2622,5,1,1,Developing,0,Semi-Furnished,18280800.0
Ahmedabad,1675,5,4,0,Developing,3,Unfurnished,8620000.0
Bengaluru,2900,4,3,1,Standard,2,Semi-Furnished,36200000.0
Kolkata,1453,1,2,0,Developing,20,Furnished,6874400.0
Ahmedabad,1083,2,2,1,Premium,10,Furnished,8493450.0
Pune,698,2,1,0,Developing,18,Unfurnished,4067200.0
Pune,2688,3,3,0,Premium,1,Furnished,29305200.0
Mumbai,1183,3,3,1,Standard,19,Furnished,21894000.0
Lucknow,1024,5,4,0,Developing,7,Unfurnished,4736400.0
Hyderabad,1648,3,3,0,Premium,16,Furnished,15596800.0
Kolkata,1380,3,3,1,Premium,8,Unfurnished,11414000.0
Jaipur,2769,1,3,1,Developing,14,Furnished,11526000.0
Jaipur,2391,3,1,0,Developing,4,Semi-Furnished,10314000.0
Mumbai,1338,4,2,0,Standard,17,Semi-Furnished,24484000.0
Kolkata,2243,4,3,1,Premium,10,Semi-Furnished,18495400.0
Chennai,1922,3,4,0,Developing,10,Furnished,12532000.0
Mumbai,1636,5,2,0,Standard,11,Unfurnished,30098000.0
Mumbai,1924,3,4,1,Premium,6,Semi-Furnished,46121600.0
Hyderabad,847,4,2,0,Developing,19,Semi-Furnished,5043200.0
Pune,1878,5,1,1,Standard,12,Semi-Furnished,15924000.0
Jaipur,1622,1,3,1,Standard,16,Unfurnished,7960000.0
Jaipur,1830,5,2,1,Standard,17,Furnished,10150000.0
Delhi,1446,1,4,1,Standard,10,Unfurnished,21940000.0
Hyderabad,933,3,4,1,Premium,12,Unfurnished,9040300.0
Lucknow,1530,2,3,0,Developing,12,Unfurnished,5608000.0
Hyderabad,1423,4,3,0,Developing,10,Furnished,9068800.0
Lucknow,2203,2,4,0,Premium,8,Unfurnished,13287550.0
Bengaluru,1597,3,4,0,Standard,9,Unfurnished,19714000.0
Lucknow,2533,2,4,0,Premium,3,Unfurnished,15468050.0
Hyderabad,1227,3,2,1,Developing,16,Furnished,7521200.0
Lucknow,1264,1,4,1,Premium,2,Unfurnished,8044400.0
Delhi,2091,4,3,0,Premium,10,Unfurnished,41374500.0
Delhi,2592,5,4,0,Standard,4,Semi-Furnished,40330000.0
Delhi,2247,3,1,0,Developing,13,Unfurnished,27014000.0
Delhi,2767,4,2,1,Developing,3,Unfurnished,34204000.0
Kolkata,2507,5,4,1,Standard,9,Semi-Furnished,16392000.0
Hyderabad,2657,1,3,1,Standard,13,Furnished,19099000.0
Chennai,794,3,2,1,Developing,10,Unfurnished,5214000.0
Chennai,2787,4,2,0,Premium,18,Semi-Furnished,27523250.0
Delhi,1437,3,4,1,Standard,3,Furnished,23055000.0
Delhi,749,3,4,1,Standard,0,Unfurnished,12385000.0
Kolkata,1913,1,3,0,Premium,4,Unfurnished,15221400.0
Ahmedabad,1066,1,1,1,Developing,0,Unfurnished,5140400.0
Kolkata,1020,1,1,1,Premium,15,Semi-Furnished,7906000.0
Jaipur,793,4,1,1,Developing,0,Semi-Furnished,4472000.0
Pune,1696,1,4,1,Premium,5,Furnished,18638400.0
Bengaluru,1404,4,2,0,Developing,12,Unfurnished,13878400.0
Jaipur,783,2,4,1,Developing,15,Semi-Furnished,3582000.0
Mumbai,634,5,1,1,Standard,5,Furnished,12912000.0
Pune,1782,4,4,0,Premium,16,Furnished,19432800.0
Ahmedabad,2328,5,4,1,Premium,20,Unfurnished,17195200.0
Ahmedabad,1434,3,2,0,Developing,4,Furnished,7409600.0
Kolkata,1319,4,1,0,Standard,17,Furnished,8464000.0
Lucknow,610,2,3,1,Developing,11,Furnished,2996000.0
Bengaluru,2579,5,2,1,Premium,10,Furnished,41582400.0
Ahmedabad,1259,1,4,1,Developing,16,Unfurnished,5489600.0
Delhi,2157,4,3,0,Premium,19,Semi-Furnished,42461500.0
Lucknow,1085,1,1,1,Developing,16,Furnished,4056000.0
Delhi,2914,2,3,0,Premium,15,Unfurnished,56773000.0
Chennai,2626,4,1,1,Premium,0,Furnished,27153500.0
Delhi,2764,1,1,1,Premium,0,Semi-Furnished,54598000.0
Hyderabad,880,3,3,0,Developing,13,Unfurnished,5178000.0
Kolkata,1992,3,1,1,Developing,10,Unfurnished,9911600.0
Bengaluru,2792,1,4,1,Standard,20,Furnished,33754000.0
Lucknow,2953,3,3,0,Standard,4,Unfurnished,13988500.0
Jaipur,994,4,3,1,Standard,15,Semi-Furnished,5720000.0
Mumbai,1065,2,2,1,Developing,15,Unfurnished,15336000.0
Pune,1861,3,4,0,Premium,9,Unfurnished,19904400.0
Lucknow,1966,3,4,1,Premium,10,Unfurnished,12151100.0
Pune,2227,2,3,1,Premium,15,Furnished,23760800.0
Delhi,2496,5,4,1,Premium,2,Semi-Furnished,50372000.0
Chennai,1240,3,1,1,Standard,13,Unfurnished,9500000.0
Ahmedabad,2404,5,2,1,Standard,17,Furnished,14222000.0
Bengaluru,2694,3,4,0,Premium,15,Semi-Furnished,42526400.0
Delhi,2712,3,2,1,Developing,13,Furnished,33344000.0
Chennai,1181,4,4,0,Standard,20,Semi-Furnished,9307500.0
Pune,1140,4,1,0,Developing,19,Unfurnished,7246000.0
Chennai,2204,5,2,1,Developing,18,Furnished,14174000.0
Ahmedabad,1338,1,3,1,Developing,5,Unfurnished,6287200.0
Jaipur,1070,5,2,0,Standard,8,Furnished,6650000.0
Jaipur,606,5,2,1,Developing,15,Semi-Furnished,3274000.0
Mumbai,2722,2,3,1,Premium,1,Furnished,64994800.0
Hyderabad,2944,4,1,1,Premium,16,Semi-Furnished,27290400.0
Jaipur,2843,3,4,1,Premium,20,Unfurnished,18629500.0
Pune,1326,4,1,0,Premium,19,Furnished,14240400.0
Jaipur,753,1,1,1,Developing,2,Furnished,3862000.0
Hyderabad,2056,1,1,1,Developing,16,Unfurnished,11163600.0
Lucknow,872,2,4,1,Standard,1,Unfurnished,4824000.0
Kolkata,1842,5,4,1,Standard,14,Semi-Furnished,12152000.0
Ahmedabad,1868,2,1,1,Standard,19,Furnished,10474000.0
Jaipur,530,2,4,0,Premium,2,Furnished,4645000.0
Jaipur,1579,1,3,1,Developing,1,Unfurnished,6916000.0
Kolkata,1938,3,4,0,Developing,6,Unfurnished,10002400.0
Chennai,2759,2,3,0,Standard,9,Semi-Furnished,21192500.0
Bengaluru,2445,1,2,1,Standard,18,Unfurnished,28990000.0
Jaipur,1294,4,3,0,Premium,9,Semi-Furnished,9311000.0
Ahmedabad,1053,3,1,1,Standard,12,Unfurnished,6041500.0
Pune,1921,5,4,0,Standard,8,Furnished,16868000.0
Bengaluru,638,4,1,0,Developing,16,Furnished,6724800.0
Ahmedabad,2364,5,4,1,Premium,2,Furnished,18852600.0
Jaipur,2707,4,3,1,Standard,11,Furnished,14735000.0
Lucknow,832,2,3,0,Developing,18,Unfurnished,2795200.0
Mumbai,1758,1,1,1,Premium,7,Unfurnished,41237200.0
Bengaluru,1149,2,1,1,Developing,1,Furnished,12130400.0
Chennai,2274,5,4,1,Developing,9,Furnished,15244000.0
Hyderabad,1405,3,1,0,Premium,18,Furnished,13085500.0
Bengaluru,931,5,4,1,Standard,20,Semi-Furnished,11972000.0
Lucknow,1677,2,2,0,Developing,14,Unfurnished,5937200.0
Bengaluru,2190,4,2,1,Standard,12,Furnished,27330000.0
Chennai,1984,4,4,1,Standard,1,Semi-Furnished,16430000.0
Ahmedabad,2950,4,4,1,Standard,17,Semi-Furnished,16975000.0
Pune,1529,3,3,0,Standard,16,Semi-Furnished,12582000.0
Bengaluru,1999,1,2,1,Developing,13,Furnished,19590400.0
Delhi,2377,5,2,1,Premium,17,Furnished,47351500.0
Kolkata,840,4,4,1,Developing,5,Semi-Furnished,5382000.0
Hyderabad,1763,2,4,0,Premium,3,Unfurnished,16693300.0
Bengaluru,2787,2,2,0,Premium,1,Semi-Furnished,44277200.0
Hyderabad,2617,3,1,0,Premium,19,Semi-Furnished,23814700.0
Pune,2429,2,3,0,Developing,15,Furnished,15995600.0
Pune,1903,2,3,0,Standard,10,Unfurnished,15424000.0
Mumbai,1596,3,3,1,Developing,12,Unfurnished,23432400.0
Pune,2194,3,1,0,Premium,4,Semi-Furnished,23567600.0
Hyderabad,1818,2,3,1,Developing,2,Unfurnished,10930800.0
Chennai,2043,5,1,0,Premium,8,Furnished,21119250.0
Pune,1007,3,3,1,Developing,6,Unfurnished,7194800.0
Ahmedabad,1328,1,1,1,Premium,5,Unfurnished,9695200.0
Ahmedabad,680,5,4,0,Standard,6,Unfurnished,4840000.0
Lucknow,558,5,3,1,Standard,14,Unfurnished,3261000.0
Jaipur,2485,1,4,0,Premium,16,Semi-Furnished,16202500.0
Bengaluru,2586,5,3,0,Standard,17,Unfurnished,31482000.0
Chennai,1965,5,3,0,Premium,19,Furnished,20008750.0
Bengaluru,1010,5,2,0,Standard,6,Unfurnished,13020000.0
Mumbai,1481,2,1,1,Developing,13,Semi-Furnished,21576400.0
Kolkata,2808,3,1,1,Developing,17,Furnished,13978400.0
Hyderabad,947,1,4,0,Premium,16,Semi-Furnished,8667700.0
Lucknow,589,2,1,0,Developing,3,Furnished,2970400.0
Mumbai,1439,2,2,0,Standard,20,Semi-Furnished,25752000.0
Ahmedabad,2952,1,2,0,Developing,6,Unfurnished,13088800.0
Bengaluru,1943,3,4,0,Developing,17,Unfurnished,18802800.0
Chennai,641,3,4,0,Premium,4,Unfurnished,7049750.0
Hyderabad,877,2,3,0,Standard,4,Unfurnished,6639000.0
Pune,1365,2,3,0,Developing,3,Unfurnished,9286000.0
Chennai,2614,5,4,1,Premium,20,Semi-Furnished,26286500.0
Kolkata,2829,1,1,0,Premium,2,Furnished,22766200.0
Mumbai,1170,3,4,1,Premium,6,Furnished,28728000.0
Bengaluru,1144,3,1,1,Premium,11,Semi-Furnished,18396400.0
Jaipur,2851,4,2,1,Premium,2,Semi-Furnished,19831500.0
Pune,1331,4,1,0,Standard,2,Semi-Furnished,11698000.0
Lucknow,853,2,4,1,Standard,19,Semi-Furnished,4088500.0
Mumbai,2129,2,2,0,Standard,6,Semi-Furnished,38872000.0
Jaipur,1048,1,4,1,Premium,8,Unfurnished,7162000.0
Hyderabad,2259,5,2,1,Premium,9,Semi-Furnished,21706900.0
Bengaluru,800,3,2,1,Developing,11,Furnished,8580000.0
Pune,1934,5,2,0,Standard,15,Unfurnished,15922000.0
Hyderabad,2846,5,3,1,Developing,0,Furnished,17887600.0
Kolkata,1805,3,3,0,Premium,8,Semi-Furnished,14829000.0
Delhi,2822,1,2,1,Standard,2,Unfurnished,42780000.0
Bengaluru,2887,2,3,0,Premium,18,Unfurnished,44837200.0
Ahmedabad,1472,3,1,0,Developing,11,Unfurnished,6626800.0
Pune,1098,1,2,1,Standard,16,Furnished,9034000.0
Delhi,901,4,1,0,Developing,5,Unfurnished,11462000.0
Jaipur,2646,3,2,1,Developing,4,Furnished,11834000.0
Mumbai,2970,2,4,1,Developing,15,Furnished,43468000.0
Ahmedabad,603,2,1,0,Standard,8,Furnished,3916500.0
Lucknow,2915,1,2,0,Developing,10,Furnished,10894000.0
Ahmedabad,1538,2,1,1,Developing,4,Furnished,7717200.0
Lucknow,551,5,2,1,Standard,6,Unfurnished,3529500.0
Chennai,1767,2,1,1,Premium,3,Semi-Furnished,17978250.0
Kolkata,2290,5,2,0,Developing,19,Furnished,11742000.0
Chennai,1435,4,4,1,Developing,6,Unfurnished,9660000.0
Pune,988,3,4,1,Premium,7,Semi-Furnished,11325200.0
Chennai,2581,1,2,1,Premium,16,Semi-Furnished,25164750.0
Jaipur,2684,1,1,1,Standard,5,Furnished,14120000.0
Bengaluru,2853,4,3,1,Developing,3,Unfurnished,28488800.0
Ahmedabad,1863,1,2,1,Standard,12,Semi-Furnished,10446500.0
Hyderabad,894,5,4,1,Developing,15,Furnished,6306400.0
Pune,2737,1,4,1,Premium,0,Semi-Furnished,29464800.0
Hyderabad,2323,2,4,0,Premium,9,Furnished,21989300.0
Hyderabad,1088,4,1,0,Developing,18,Semi-Furnished,6342800.0
Delhi,2963,3,2,1,Developing,18,Furnished,36106000.0
Chennai,1496,5,4,1,Standard,9,Furnished,12820000.0
Delhi,1527,4,2,1,Developing,17,Unfurnished,18624000.0
Hyderabad,799,5,4,0,Premium,10,Unfurnished,8170900.0
Bengaluru,1494,5,1,1,Developing,0,Semi-Furnished,15842400.0
Bengaluru,2503,3,2,0,Developing,4,Unfurnished,24628800.0
Bengaluru,1873,1,4,1,Developing,7,Furnished,18880800.0
Jaipur,2829,2,2,0,Developing,17,Unfurnished,11066000.0
Kolkata,1394,3,2,0,Developing,16,Semi-Furnished,6941200.0
Mumbai,2861,3,4,1,Standard,1,Semi-Furnished,52848000.0
Hyderabad,1972,1,1,0,Developing,16,Unfurnished,10543200.0
Ahmedabad,2133,5,1,0,Standard,10,Semi-Furnished,12581500.0
Lucknow,1013,5,4,0,Standard,20,Furnished,5458500.0
Ahmedabad,2785,5,1,0,Standard,9,Furnished,16467500.0
Lucknow,2320,3,2,0,Standard,19,Semi-Furnished,10540000.0
Hyderabad,2153,3,2,1,Premium,12,Semi-Furnished,20192300.0
Mumbai,847,4,1,0,Developing,15,Unfurnished,12346800.0
Mumbai,2676,2,3,0,Standard,6,Semi-Furnished,48818000.0
Kolkata,1176,3,3,1,Premium,15,Furnished,9972800.0
Mumbai,2792,2,2,0,Standard,17,Semi-Furnished,50256000.0
Bengaluru,1306,5,3,1,Premium,9,Unfurnished,21373600.0
Ahmedabad,2149,5,2,1,Standard,15,Furnished,12919500.0
Hyderabad,2708,2,4,0,Premium,20,Unfurnished,24442800.0
Kolkata,1856,4,3,0,Standard,6,Furnished,12436000.0
Chennai,1986,4,3,1,Developing,12,Furnished,13066000.0
Delhi,2465,1,4,0,Premium,5,Semi-Furnished,48667500.0
Chennai,2408,4,1,0,Developing,17,Furnished,14998000.0
Ahmedabad,1047,2,1,1,Developing,17,Semi-Furnished,4656800.0
Chennai,1192,1,4,1,Premium,16,Furnished,12072000.0
Ahmedabad,685,1,1,1,Premium,12,Semi-Furnished,4997750.0
Bengaluru,2631,5,1,0,Premium,14,Furnished,41943600.0
Mumbai,940,5,1,0,Developing,10,Furnished,14636000.0
Hyderabad,1885,3,4,0,Premium,11,Furnished,18103500.0
Lucknow,2258,4,1,0,Premium,7,Furnished,14259300.0
Pune,1915,2,2,1,Developing,9,Furnished,13056000.0
Lucknow,1769,1,3,0,Standard,14,Semi-Furnished,8010500.0
Jaipur,1035,3,1,1,Premium,0,Unfurnished,7577500.0
Lucknow,1534,1,2,0,Standard,12,Semi-Furnished,6953000.0
Jaipur,1376,1,1,0,Developing,0,Unfurnished,5804000.0
Delhi,1084,3,1,0,Standard,0,Semi-Furnished,17210000.0
Jaipur,1473,2,2,1,Premium,15,Furnished,10074500.0
Delhi,2120,1,1,0,Premium,6,Semi-Furnished,41590000.0
Pune,2608,4,4,0,Developing,20,Semi-Furnished,17141200.0
Lucknow,1076,1,1,1,Premium,12,Semi-Furnished,6394600.0
Lucknow,1892,5,3,1,Premium,18,Furnished,12118200.0
Lucknow,596,3,4,1,Standard,14,Semi-Furnished,3382000.0
Lucknow,643,1,4,1,Premium,6,Unfurnished,4211550.0
Lucknow,1313,4,2,0,Developing,15,Furnished,5476800.0
Mumbai,2969,3,2,0,Premium,1,Unfurnished,70224600.0
Jaipur,1813,3,3,1,Premium,19,Furnished,12384500.0
Chennai,1153,5,2,0,Premium,14,Unfurnished,11741750.0
Delhi,2064,3,3,1,Developing,18,Unfurnished,24918000.0
Kolkata,2839,2,2,0,Premium,10,Furnished,22744200.0
Lucknow,2226,3,1,0,Standard,6,Furnished,10917000.0
Mumbai,2355,3,2,0,Standard,9,Furnished,43240000.0
Mumbai,1810,2,4,1,Premium,18,Semi-Furnished,42654000.0
Lucknow,2608,2,2,0,Developing,4,Unfurnished,9788800.0
Chennai,2723,3,2,0,Developing,14,Furnished,16938000.0
Hyderabad,971,3,4,0,Developing,15,Unfurnished,5687600.0
Pune,588,4,4,1,Premium,11,Semi-Furnished,7165200.0
Jaipur,2755,2,1,0,Standard,20,Furnished,13775000.0
Bengaluru,1942,3,3,0,Standard,4,Semi-Furnished,24254000.0
Chennai,1167,5,3,1,Premium,0,Unfurnished,12828250.0
Delhi,2393,2,3,0,Developing,12,Semi-Furnished,29066000.0
Jaipur,1908,2,1,0,Premium,1,Unfurnished,12852000.0
Kolkata,2209,3,2,0,Standard,15,Semi-Furnished,13554000.0
Ahmedabad,1963,4,4,0,Premium,5,Semi-Furnished,15235450.0
Lucknow,590,5,2,1,Premium,1,Furnished,5251500.0
Lucknow,611,3,2,0,Standard,19,Furnished,3099500.0
Hyderabad,2368,3,2,0,Standard,3,Furnished,17726000.0
Chennai,1832,2,4,0,Developing,14,Semi-Furnished,11342000.0
Chennai,1096,3,2,1,Standard,15,Furnished,8920000.0
Hyderabad,964,4,2,0,Standard,6,Semi-Furnished,7698000.0
Jaipur,1488,5,2,1,Developing,13,Furnished,7152000.0
Chennai,2356,1,4,1,Developing,4,Semi-Furnished,14936000.0
Hyderabad,2757,5,3,0,Standard,20,Semi-Furnished,19849000.0
Hyderabad,541,4,2,1,Developing,16,Furnished,3879600.0
Pune,952,3,1,1,Premium,9,Unfurnished,10300800.0
Delhi,895,2,4,0,Standard,9,Semi-Furnished,14025000.0
Mumbai,2770,5,2,0,Standard,17,Semi-Furnished,50460000.0
Chennai,1171,4,1,0,Premium,13,Furnished,12167250.0
Jaipur,2903,1,3,0,Developing,19,Semi-Furnished,11412000.0
Hyderabad,1662,3,4,0,Standard,15,Semi-Furnished,12134000.0
Jaipur,816,3,4,0,Standard,5,Furnished,5330000.0
Delhi,2728,1,4,1,Standard,9,Semi-Furnished,41470000.0
Ahmedabad,2335,3,1,0,Premium,16,Semi-Furnished,16845250.0
Kolkata,2328,4,4,0,Standard,5,Furnished,15418000.0
Kolkata,2691,3,1,1,Standard,4,Semi-Furnished,17046000.0
Hyderabad,1487,5,4,1,Developing,8,Furnished,9977200.0
Chennai,1011,5,4,0,Developing,1,Semi-Furnished,7666000.0
Lucknow,1501,3,3,1,Premium,15,Furnished,9580850.0
